(1,154)
(2,136)
(3,123)
(4,140)
(5,154)
(6,168)
(7,179)
(8,188)
(9,196)
(10,201)
(11,204)
(12,205)
(13,204)
(14,201)
(15,197)
(16,191)
(17,183)
(18,172)
(19,182)
(20,191)
(21,197)
(22,201)
(23,204)
(24,205)
(25,204)
(26,201)
(27,196)
(28,188)
(29,180)
(30,168)
(31,154)
(32,140)
(33,123)
(34,137)
(35,155)
